SINR
36.035739
36.035739
36.035738
36.035738
36.035737
36.035737
36.035737
36.035738
36.035739
36.035739
36.035739
36.035739
36.035739
36.035738
36.035737
36.035737
36.035738
36.035739
36.035739
36.035739
11.835723
11.869447
11.897364
11.839451
11.869331
11.880014
11.83502
11.839451
11.902295
11.899378
11.841547
11.899378
11.902295
11.837812
11.869331
11.839446
11.855297
11.903816
11.876627
11.839584
-0.737494
-0.165402
0.32098
-0.673228
-0.16573
0.018604
-0.747455
-0.673228
0.407941
0.355986
-0.639686
0.355986
0.407941
-0.700713
-0.16573
-0.673183
-0.405725
0.434698
-0.041623
-0.672702
